R(m)      Z(m)      ID
1.74151   0.98645    7
1.67239   1.04868    8
1.64712   1.07143    9
1.58747   1.20429    10
1.58391   1.23810    11
1.58036   1.27191    12
1.59740   1.42072    13
1.57335   1.39668    14
1.54931   1.37264    15
1.49274   1.31607    16
1.46870   1.29203    17
1.41425   1.23758    18
1.39021   1.21354    19
1.36617   1.18950    20
1.31667   1.13999    21
1.29263   1.11595    22
1.26100   1.05900    23
1.26100   1.02500    24
1.26100   0.99100    25
1.26100   0.91700    26
1.26100   0.88300    27
1.26100   0.80000    28
1.26100   0.76600    29
1.26100   0.73200    30
1.26100   0.36700    31
1.26100   0.33300    32
1.26100   0.25600    33
1.26100   0.22200    34
1.26100   0.18800    35
1.26100   -0.17100    36
1.26100   -0.20500    37
1.26100   -0.23900    38
1.26100   -0.35000    39
1.26100   -0.74900    40
1.26100   -0.78300    41
1.26100   -0.86600    42
1.26100   -0.90000    43
1.26100   -0.93400    44
1.26100   -1.00800    45
1.26100   -1.04200    46
1.28061   -1.10394    47
1.30465   -1.12798    48
1.32869   -1.15202    49
1.37819   -1.20152    50
1.40223   -1.22556    51
1.45668   -1.28001    52
1.48072   -1.30405    53
1.50476   -1.32809    54
1.56133   -1.38466    55
1.57858   -1.28882    63
1.58214   -1.25501    62
1.58537   -1.40870    56
1.58569   -1.22119    61
1.58925   -1.18738    60
1.65976   -1.06006    59
1.72887   -0.99783    58
1.75414   -0.97508    57
1.317     -1.140     106
1.366     -1.190     107 
1.390     -1.214     108
1.414     -1.238     109
1.469     -1.292     110
1.493     -1.316     111
1.573     -1.397     113
1.597     -1.421     114
